Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2026-01-29 16:00:00-05:00,2.67,,
2025-10-30 16:00:00-04:00,1.77,1.85,4.51977401129944
2025-07-31 16:00:00-04:00,1.43,1.57,9.790209790209799
2025-05-01 16:00:00-04:00,1.63,1.65,1.2269938650306762
2025-01-30 16:00:00-05:00,2.34,2.4,2.5641025641025665
2024-10-31 16:00:00-04:00,0.95,0.97,2.105263157894739
2024-08-01 16:00:00-04:00,1.34,1.4,4.477611940298495
2024-05-02 16:00:00-04:00,1.5,1.53,2.0000000000000018
2024-02-01 16:00:00-05:00,2.11,2.18,3.31753554502371
2023-11-02 16:00:00-04:00,1.39,1.46,5.035971223021588
2023-08-03 16:00:00-04:00,1.19,1.26,5.882352941176476
2023-05-04 16:00:00-04:00,1.43,1.52,6.2937062937062995
2023-02-02 16:00:00-05:00,1.95,1.88,-3.589743589743593
2022-10-27 16:00:00-04:00,1.27,1.29,1.5748031496063006
2022-07-28 16:00:00-04:00,1.15,1.2,4.347826086956526
2022-04-28 16:00:00-04:00,1.43,1.52,6.2937062937062995
2022-01-27 16:00:00-05:00,1.89,2.1,11.111111111111121
2021-10-28 16:00:00-04:00,1.24,1.24,0.0
2021-07-27 16:00:00-04:00,1.01,1.3,28.712871287128717
2021-04-28 16:00:00-04:00,0.98,1.4,42.85714285714285
2021-01-27 16:00:00-05:00,1.42,1.68,18.30985915492958
2020-10-29 16:00:00-04:00,0.7,0.73,4.28571428571429
2020-07-30 16:00:00-04:00,0.52,0.65,25.0
2020-04-30 17:00:00-04:00,0.56,0.64,14.285714285714276
2020-01-28 16:00:00-05:00,1.13,1.25,10.619469026548684
