Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2026-02-06 08:00:00-05:00,4.77,,
2025-10-31 06:00:00-04:00,2.91,3.05,4.65
2025-07-25 06:00:00-04:00,2.37,2.66,12.08
2025-04-25 06:00:00-04:00,6.04,5.67,-6.1
2025-01-31 06:00:00-05:00,4.25,4.42,3.95
2024-10-25 06:00:00-04:00,1.42,1.57,10.44
2024-07-26 06:00:00-04:00,3.08,2.93,-4.94
2024-04-26 02:00:00-04:00,5.92,5.66,-4.4
2024-02-02 06:00:00-05:00,4.06,3.89,-4.29
2023-10-27 06:00:00-04:00,2.21,2.32,4.95
2023-07-28 06:00:00-04:00,2.84,2.76,-2.65
2023-04-28 06:00:00-04:00,5.32,5.17,-2.8
2023-02-03 06:00:00-05:00,3.66,3.89,6.35
2022-10-28 06:00:00-04:00,1.99,2.02,1.29
2022-07-29 06:00:00-04:00,2.55,2.63,3.12
2022-04-29 06:00:00-04:00,4.81,4.83,0.39
2022-02-04 06:00:00-05:00,3.34,3.71,10.95
2021-10-29 06:00:00-04:00,1.7,1.74,2.27
2021-07-30 06:00:00-04:00,1.85,2.29,24.06
2021-04-30 06:00:00-04:00,4.05,4.28,5.62
2021-02-05 06:00:00-05:00,2.46,2.62,6.64
2020-10-30 06:00:00-04:00,1.48,1.53,3.04
2020-07-31 06:00:00-04:00,1.92,1.96,1.84
2020-05-01 07:00:00-04:00,3.67,3.68,0.36
2020-01-31 06:00:00-05:00,2.47,2.53,2.34
