Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2026-01-23 08:00:00-05:00,3.57,,
2025-10-17 07:00:00-04:00,4.0,4.14,3.61
2025-07-18 07:00:00-04:00,3.88,4.08,5.09
2025-04-17 07:00:00-04:00,3.47,3.64,4.96
2025-01-24 07:00:00-05:00,3.05,3.04,-0.35
2024-10-18 07:00:00-04:00,3.28,3.49,6.49
2024-07-19 07:00:00-04:00,3.26,4.15,27.11
2024-04-19 10:00:00-04:00,2.96,3.33,12.66
2024-01-26 07:00:00-05:00,2.63,2.62,-0.35
2023-10-20 07:00:00-04:00,2.94,3.3,12.08
2023-07-21 07:00:00-04:00,2.81,2.89,2.97
2023-04-20 07:00:00-04:00,2.67,2.4,-10.02
2023-01-27 07:00:00-05:00,2.23,2.07,-7.25
2022-10-21 13:00:00-04:00,2.41,2.47,2.29
2022-07-22 07:00:00-04:00,2.41,2.57,6.64
2022-04-22 07:00:00-04:00,2.47,2.73,10.73
2022-01-25 07:00:00-05:00,1.84,2.18,18.71
2021-10-22 07:00:00-04:00,1.77,2.27,28.54
2021-07-23 07:00:00-04:00,1.62,2.8,72.52
2021-04-23 07:00:00-04:00,1.62,2.74,69.37
2021-01-26 07:00:00-05:00,1.3,1.76,35.17
2020-10-23 07:00:00-04:00,1.35,1.3,-3.84
2020-07-24 07:00:00-04:00,0.02,0.29,1112.88
2020-04-24 15:00:00-04:00,1.67,0.41,-75.48
2020-01-24 07:00:00-05:00,2.01,2.03,0.91
