Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2026-01-22 16:00:00-05:00,0.44,,
2025-10-16 16:00:00-04:00,0.42,0.44,3.79
2025-07-23 16:00:00-04:00,0.42,0.44,5.7
2025-04-16 16:00:00-04:00,0.37,0.34,-7.67
2025-01-23 16:00:00-05:00,0.42,0.38,-9.39
2024-10-16 16:00:00-04:00,0.48,0.46,-3.6
2024-08-05 16:00:00-04:00,0.48,0.49,2.55
2024-04-17 16:00:00-04:00,0.45,0.46,1.7
2024-01-24 16:00:00-05:00,0.44,0.45,1.86
2023-10-19 16:00:00-04:00,0.43,0.42,-1.68
2023-07-20 16:00:00-04:00,0.49,0.49,-0.26
2023-04-20 16:00:00-04:00,0.43,0.48,12.47
2023-01-25 16:00:00-05:00,0.47,0.49,4.56
2022-10-20 16:00:00-04:00,0.49,0.52,6.39
2022-07-20 16:00:00-04:00,0.48,0.54,11.46
2022-04-20 16:00:00-04:00,0.37,0.39,4.29
2022-01-19 19:00:00-05:00,0.41,0.42,1.22
2021-10-20 16:00:00-04:00,0.38,0.43,14.52
2021-07-21 16:00:00-04:00,0.37,0.4,8.34
2021-04-20 16:00:00-04:00,0.32,0.31,-2.33
2021-01-21 16:00:00-05:00,0.34,0.33,-2.11
2020-10-21 16:00:00-04:00,0.31,0.32,3.58
2020-07-22 16:00:00-04:00,0.21,0.22,1.58
2020-04-22 16:00:00-04:00,0.31,0.33,5.82
2020-01-16 16:00:00-05:00,0.32,0.33,2.01
