Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2026-01-20 16:00:00-05:00,0.55,,
2025-10-21 16:00:00-04:00,0.7,0.59,-15.79
2025-07-17 16:00:00-04:00,0.7,0.72,2.24
2025-04-17 16:00:00-04:00,0.57,0.66,16.37
2025-01-21 16:00:00-05:00,0.42,0.43,1.41
2024-10-17 16:00:00-04:00,0.51,0.54,5.32
2024-07-18 16:00:00-04:00,0.47,0.49,2.92
2024-04-18 16:00:00-04:00,0.45,0.53,16.66
2024-01-23 16:00:00-05:00,0.22,0.21,-4.8
2023-10-18 16:00:00-04:00,0.35,0.37,6.74
2023-07-19 16:00:00-04:00,0.29,0.33,15.15
2023-04-18 16:00:00-04:00,0.29,0.29,0.46
2023-01-19 16:00:00-05:00,0.05,0.01,-75.18
2022-10-18 16:00:00-04:00,0.21,0.31,45.21
2022-07-19 16:00:00-04:00,0.29,0.32,9.04
2022-04-19 16:00:00-04:00,0.29,0.35,20.97
2022-01-20 16:00:00-05:00,0.08,0.13,61.49
2021-10-19 16:00:00-04:00,0.26,0.32,24.75
2021-07-20 16:00:00-04:00,0.32,0.3,-5.91
2021-04-20 16:00:00-04:00,0.3,0.38,26.4
2021-01-19 16:00:00-05:00,0.14,0.12,-15.07
2020-10-20 17:00:00-04:00,0.21,0.17,-18.71
2020-07-16 16:00:00-04:00,0.18,0.16,-13.13
2020-04-21 17:00:00-04:00,0.16,0.16,-4.02
2020-01-21 16:00:00-05:00,0.05,0.13,147.95
