Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2026-02-25 16:00:00-05:00,1.52,,
2025-11-19 16:00:00-05:00,1.26,1.3,3.174603174603177
2025-08-27 16:00:00-04:00,1.01,1.05,3.960396039603964
2025-05-28 16:00:00-04:00,0.75,0.81,8.000000000000007
2025-02-26 16:00:00-05:00,0.85,0.89,4.70588235294118
2024-11-20 16:00:00-05:00,0.75,0.81,8.000000000000007
2024-08-28 16:00:00-04:00,0.64,0.68,6.250000000000005
2024-05-22 16:00:00-04:00,0.52,0.6,15.384615384615378
2024-02-21 16:00:00-05:00,0.46,0.52,13.043478260869565
2023-11-21 16:00:00-05:00,0.34,0.4,17.64705882352941
2023-08-23 16:00:00-04:00,0.21,0.27,28.571428571428587
2023-05-24 16:00:00-04:00,0.09,0.11,22.222222222222225
2023-02-22 16:00:00-05:00,0.08,0.09,12.499999999999993
2022-11-16 16:00:00-05:00,0.07,0.06,-14.285714285714295
2022-08-24 16:00:00-04:00,0.05,0.05,0.0
2022-05-25 16:00:00-04:00,0.13,0.14,7.692307692307699
2022-02-16 16:00:00-05:00,0.12,0.13,8.333333333333341
2021-11-17 16:00:00-05:00,0.09,0.1,11.111111111111121
2021-08-18 16:00:00-04:00,0.08,0.09,12.499999999999993
2021-05-26 16:00:00-04:00,0.08,0.09,12.499999999999993
2021-02-24 16:00:00-05:00,0.07,0.08,14.285714285714276
2020-11-18 16:00:00-05:00,0.06,0.07,16.666666666666682
2020-08-19 16:00:00-04:00,0.05,0.05,0.0
2020-05-21 16:00:00-04:00,0.04,0.05,25.000000000000007
2020-02-13 16:00:00-05:00,0.04,0.05,25.000000000000007
