Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2026-01-28 16:00:00-05:00,0.45,,
2025-10-22 16:00:00-04:00,0.56,0.5,-10.714285714285724
2025-07-23 16:00:00-04:00,0.4,0.4,0.0
2025-04-22 16:00:00-04:00,0.35,0.12,-65.71428571428571
2025-01-29 16:00:00-05:00,0.77,0.73,-5.194805194805199
2024-10-23 16:00:00-04:00,0.5,0.62,24.0
2024-07-23 20:00:00-04:00,0.62,0.52,-16.129032258064512
2024-04-23 16:00:00-04:00,0.49,0.45,-8.163265306122446
2024-01-24 16:00:00-05:00,0.74,0.71,-4.054054054054058
2023-10-18 16:00:00-04:00,0.73,0.66,-9.589041095890405
2023-07-19 16:00:00-04:00,0.82,0.91,10.97560975609757
2023-04-19 16:00:00-04:00,0.85,0.85,0.0
2023-01-25 16:00:00-05:00,1.11,1.19,7.207207207207193
2022-10-19 17:00:00-04:00,1.0,1.05,5.000000000000004
2022-07-20 17:00:00-04:00,0.6,0.76,26.66666666666667
2022-04-20 16:00:00-04:00,0.75,1.07,42.66666666666667
2022-01-26 16:00:00-05:00,0.79,0.85,7.594936708860751
2021-10-20 15:00:00-04:00,0.54,0.62,14.814814814814806
2021-07-26 16:00:00-04:00,0.32,0.48,49.999999999999986
2021-04-26 16:00:00-04:00,0.26,0.31,19.230769230769226
2021-01-27 16:00:00-05:00,0.35,0.27,-22.857142857142847
2020-10-21 18:00:00-04:00,0.2,0.25,24.999999999999993
2020-07-22 16:00:00-04:00,-0.01,0.15,-1600.0
2020-04-29 12:00:00-04:00,-0.01,0.08,-900.0
2020-01-29 16:00:00-05:00,0.12,0.14,16.666666666666682
