Period,Dividend,Ex-dividend date,Record date,Pay Date,Ticker,Company,Year
Q4 2009,0.1704,,,2010-03-17,ULVR,Unilever PLC,2009.0
Q1 2010,0.1803,,,2010-06-16,ULVR,Unilever PLC,2010.0
Q2 2010,0.1726,,,2010-09-15,ULVR,Unilever PLC,2010.0
Q3 2010,0.182,,,2010-12-15,ULVR,Unilever PLC,2010.0
Q4 2010,0.1775,,,2011-03-16,ULVR,Unilever PLC,2010.0
Q1 2011,0.1996,,,2011-06-15,ULVR,Unilever PLC,2011.0
Q2 2011,0.1962,,,2011-09-14,ULVR,Unilever PLC,2011.0
Q3 2011,0.1924,,,2011-12-14,ULVR,Unilever PLC,2011.0
Q4 2011,0.1879,,,2012-03-22,ULVR,Unilever PLC,2011.0
Q1 2012,0.1981,,,2012-06-13,ULVR,Unilever PLC,2012.0
Q2 2012,0.1892,,,2012-09-12,ULVR,Unilever PLC,2012.0
Q3 2012,0.1977,,,2012-12-12,ULVR,Unilever PLC,2012.0
Q4 2012,0.2039,,,2013-03-13,ULVR,Unilever PLC,2012.0
Q1 2013,0.2291,,,2013-06-12,ULVR,Unilever PLC,2013.0
Q2 2013,0.2312,,,2013-09-11,ULVR,Unilever PLC,2013.0
Q3 2013,0.228,,,2013-12-11,ULVR,Unilever PLC,2013.0
Q4 2013,0.2222,,,2014-03-12,ULVR,Unilever PLC,2013.0
Q1 2014,0.2338,,,2014-06-11,ULVR,Unilever PLC,2014.0
Q2 2014,0.2253,,,2014-09-10,ULVR,Unilever PLC,2014.0
Q3 2014,0.2252,,,2014-12-10,ULVR,Unilever PLC,2014.0
Q4 2014,0.2177,,,2015-03-11,ULVR,Unilever PLC,2014.0
Q1 2015,0.218,,,2015-06-03,ULVR,Unilever PLC,2015.0
Q2 2015,0.211,,,2015-09-09,ULVR,Unilever PLC,2015.0
Q3 2015,0.2259,,,2015-12-09,ULVR,Unilever PLC,2015.0
Q4 2015,0.23,,,2016-03-09,ULVR,Unilever PLC,2015.0
Q1 2016,0.2556,,,2016-06-01,ULVR,Unilever PLC,2016.0
Q2 2016,0.2689,,,2016-09-07,ULVR,Unilever PLC,2016.0
Q3 2016,0.289,,,2016-12-07,ULVR,Unilever PLC,2016.0
Q4 2016,0.2768,,,2017-03-15,ULVR,Unilever PLC,2016.0
Q1 2017,0.3021,,,2017-06-07,ULVR,Unilever PLC,2017.0
Q2 2017,0.3183,,,2017-09-06,ULVR,Unilever PLC,2017.0
Q3 2017,0.3199,,,2017-12-13,ULVR,Unilever PLC,2017.0
Q4 2017,0.3155,,,2018-03-21,ULVR,Unilever PLC,2017.0
Q1 2018,0.3341,,,2018-06-06,ULVR,Unilever PLC,2018.0
Q2 2018,0.3435,,,2018-09-05,ULVR,Unilever PLC,2018.0
Q3 2018,0.3393,,,2018-12-05,ULVR,Unilever PLC,2018.0
Q4 2018,0.3361,,,2019-03-20,ULVR,Unilever PLC,2018.0
Q1 2019,0.3546,,,2019-06-05,ULVR,Unilever PLC,2019.0
Q2 2019,0.3682,,,2019-09-11,ULVR,Unilever PLC,2019.0
Q3 2019,0.3576,,,2019-12-04,ULVR,Unilever PLC,2019.0
Q4 2019,0.3472,,,2020-03-18,ULVR,Unilever PLC,2019.0
Q1 2020,0.3614,,,2020-06-04,ULVR,Unilever PLC,2020.0
Q2 2020,0.3698,,,2020-09-09,ULVR,Unilever PLC,2020.0
Q3 2020,0.3746,,,2020-11-20,ULVR,Unilever PLC,2020.0
Q4 2020,0.376,,,2021-03-17,ULVR,Unilever PLC,2020.0
Q1 2021,0.371,,,2021-06-10,ULVR,Unilever PLC,2021.0
Q2 2021,0.3693,,,2021-09-08,ULVR,Unilever PLC,2021.0
Q3 2021,0.3598,,,2021-12-01,ULVR,Unilever PLC,2021.0
Q4 2021,0.3602,,,2022-03-22,ULVR,Unilever PLC,2021.0
Q1 2022,0.359,,,2022-06-16,ULVR,Unilever PLC,2022.0
Q2 2022,0.3633,,,2022-09-01,ULVR,Unilever PLC,2022.0
Q3 2022,0.3722,,,2022-12-09,ULVR,Unilever PLC,2022.0
Q4 2022,0.3812,,,2023-03-21,ULVR,Unilever PLC,2022.0
Q1 2023,0.3783,,,2023-06-15,ULVR,Unilever PLC,2023.0
Q2 2023,0.37,,,2023-08-31,ULVR,Unilever PLC,2023.0
Q3 2023,0.3715,,,2023-12-08,ULVR,Unilever PLC,2023.0
Q4 2023,0.3647,,,2024-03-22,ULVR,Unilever PLC,2023.0
Q1 2024,0.3674,,,2024-06-07,ULVR,Unilever PLC,2024.0
Q2 2024,0.3696,,,2024-09-06,ULVR,Unilever PLC,2024.0
Q3 2024,0.3663,,,2024-12-06,ULVR,Unilever PLC,2024.0
Q4 2024,0.3775,,,2025-03-28,ULVR,Unilever PLC,2024.0
Q1 2025,0.3887,,,2025-06-13,ULVR,Unilever PLC,2025.0
Q2 2025,0.3916,,,2025-09-12,ULVR,Unilever PLC,2025.0
Q3 2025,0.3928,6 November 2025,7 November 2025,2025-12-05,ULVR,Unilever PLC,2025.0
